Date,Open,High,Low,Close,Adj Close,Volume
1997-01-02,26.250000,26.250000,25.562500,25.937500,10.283527,7161800
1997-01-03,26.125000,26.687500,26.125000,26.562500,10.531322,5312000
1997-01-06,26.562500,26.812500,26.125000,26.312500,10.432207,6259600
1997-01-07,26.312500,27.187500,25.937500,27.187500,10.779116,7325400
1997-01-08,27.187500,27.250000,26.562500,26.687500,10.580877,5712000
1997-01-09,26.812500,27.187500,26.812500,26.937500,10.679999,5715000
1997-01-10,26.937500,27.062500,26.312500,27.062500,10.729557,6061600
1997-01-13,27.062500,27.250000,26.812500,27.000000,10.704778,4327400
1997-01-14,27.250000,27.875000,27.250000,27.750000,11.002137,7006000
1997-01-15,27.750000,28.750000,27.500000,28.500000,11.299487,9699000
1997-01-16,28.500000,28.937500,28.312500,28.812500,11.423385,6928200
1997-01-17,28.812500,29.562500,28.750000,29.375000,11.646402,11371200
1997-01-20,29.375000,29.937500,29.375000,29.375000,11.646402,7465600
1997-01-21,29.375000,30.125000,29.125000,29.812500,11.819856,10445800
1997-01-22,29.812500,29.875000,29.437500,29.687500,11.770304,6367200
1997-01-23,29.687500,29.687500,28.687500,28.750000,11.398603,6414200
1997-01-24,28.750000,28.875000,28.062500,28.562500,11.324265,10216000
1997-01-27,28.437500,28.437500,28.000000,28.187500,11.175592,6329200
1997-01-28,28.187500,28.562500,27.500000,27.750000,11.002137,8533400
1997-01-29,27.812500,28.250000,27.812500,28.250000,11.200371,7654800
1997-01-30,28.312500,28.750000,28.312500,28.687500,11.373830,5516800
1997-01-31,28.687500,29.250000,28.562500,28.937500,11.472945,8654800
1997-02-03,28.937500,29.750000,28.875000,29.750000,11.795080,7693400
1997-02-04,29.750000,29.812500,29.375000,29.687500,11.770304,7997800
1997-02-05,29.687500,29.937500,28.937500,29.125000,11.547287,7809800
1997-02-06,29.125000,29.250000,28.812500,28.875000,11.448167,6090800
1997-02-07,28.875000,29.187500,28.500000,29.125000,11.547287,6966000
1997-02-10,29.125000,29.812500,29.125000,29.125000,11.547287,4787000
1997-02-11,29.125000,29.625000,29.125000,29.625000,11.745519,4324600
1997-02-12,29.625000,30.125000,29.625000,30.125000,11.943762,7335800
1997-02-13,30.125000,30.500000,30.000000,30.500000,12.092431,7387800
1997-02-14,30.500000,30.500000,30.125000,30.312500,12.018097,5933000
1997-02-18,30.312500,30.750000,30.250000,30.750000,12.191555,5406800
1997-02-19,30.750000,31.125000,30.625000,31.000000,12.290675,5995200
1997-02-20,30.937500,30.937500,30.562500,30.625000,12.141994,5168600
1997-02-21,30.625000,31.125000,30.562500,31.000000,12.290675,8153200
1997-02-24,31.000000,31.500000,30.750000,31.437500,12.464128,6032000
1997-02-25,31.437500,31.625000,31.062500,31.312500,12.414571,5326600
1997-02-26,31.250000,31.250000,30.250000,30.500000,12.092431,7813600
1997-02-27,30.625000,31.062500,30.625000,30.812500,12.216335,6025400
1997-02-28,30.812500,30.875000,30.312500,30.500000,12.092431,5767400
1997-03-03,30.312500,30.312500,30.000000,30.187500,11.968539,5929600
1997-03-04,30.187500,30.437500,29.625000,29.625000,11.745519,7598400
1997-03-05,29.625000,30.187500,29.500000,30.125000,11.943762,7617000
1997-03-06,30.312500,30.687500,30.312500,30.437500,12.067654,10409400
1997-03-07,30.437500,30.562500,30.250000,30.250000,11.993317,4057000
1997-03-10,30.250000,30.625000,30.187500,30.562500,12.117215,6053600
1997-03-11,30.687500,31.125000,30.687500,31.000000,12.290675,6334000
1997-03-12,30.937500,30.937500,30.375000,30.500000,12.147291,5602800
